county,month,wind_speed
Warren,3,11
Warren,4,11.9
Warren,5,11.8
Warren,6,5.1
Warren,7,6.7
Warren,8,6.3
Warren,9,6.2
Warren,10,10
Warren,11,8.4
Warren,12,9
Warrick,1,11.4
Warrick,2,11.2
Warrick,3,9.7
Warrick,4,10
Warrick,5,6.5
Warrick,6,10.8
Warrick,7,6.3
Warrick,8,5.6
Warrick,9,7.7
Warrick,10,10.9
Warrick,11,8.6
Warrick,12,9
Washington,1,10.6
Washington,2,12.7
Washington,3,10.5
Washington,4,7.7
Washington,5,10.5
Washington,6,4.8
Washington,7,5.3
Washington,8,5.5
Washington,9,6
Washington,10,5.6
Washington,11,7.8
Washington,12,9.5
Wayne,1,8.9
Wayne,2,10.4
Wayne,3,10.9
Wayne,4,7.2
Wayne,5,11.6
Wayne,6,10.3
Wayne,7,5.2
Wayne,8,6.4
Wayne,9,7.3
Wayne,10,8.9
Wayne,11,11.9
Wayne,12,8.8
Wells,1,11.7
Wells,2,10.6
Wells,3,15.3
Wells,4,7.6
Wells,5,9.4
Wells,6,5.6
Wells,7,6.8
Wells,8,8.1
Wells,9,7.1
Wells,10,9.2
Wells,11,7.6
Wells,12,7.4
White,1,11.7
White,2,8.4
White,3,9.7
White,4,8.7
White,5,8.6
White,6,8.8
White,7,6.4
White,8,8.8
White,9,10.6
White,10,8.8
White,11,6.8
White,12,10.2
Whitley,1,12.2
Whitley,2,10.3
Whitley,3,12.3
Whitley,4,8
Whitley,5,12.7
Whitley,6,5.3
Whitley,7,6.9
Whitley,8,7
Whitley,9,4.2
Whitley,10,8.7
Whitley,11,7.5
Whitley,12,9.5
